,session_id,ner_model,sentence_index,named_entity_type,entity
0,a8ff412b39cf,spacy,0,DATE,August 17th 2022
1,a8ff412b39cf,spacy,1,PERSON,Jean Cole Wells
2,a8ff412b39cf,spacy,1,GPE,King County
3,a8ff412b39cf,transformers,1,B-PER,Jean
4,a8ff412b39cf,transformers,1,I-PER,Cole
5,a8ff412b39cf,transformers,1,I-PER,Wells
6,a8ff412b39cf,transformers,1,B-LOC,King
7,a8ff412b39cf,transformers,1,I-LOC,County
8,a8ff412b39cf,spacy,2,ORG,the King County Courthouse
9,a8ff412b39cf,transformers,2,B-LOC,King
10,a8ff412b39cf,transformers,2,I-LOC,County
11,a8ff412b39cf,transformers,2,I-LOC,Courthouse
12,a8ff412b39cf,spacy,3,NORP,Amish
13,a8ff412b39cf,transformers,3,B-MISC,Am
14,a8ff412b39cf,transformers,3,B-MISC,##ish
15,a8ff412b39cf,spacy,5,DATE,Today
16,a8ff412b39cf,spacy,5,ORG,Committee of the
17,a8ff412b39cf,transformers,5,B-ORG,Committee
18,a8ff412b39cf,transformers,5,I-ORG,of
19,a8ff412b39cf,transformers,5,I-ORG,the
20,a8ff412b39cf,spacy,6,ORDINAL,third
21,a8ff412b39cf,spacy,7,DATE,Today
22,a8ff412b39cf,spacy,7,CARDINAL,two
23,a8ff412b39cf,spacy,9,DATE,next year's
24,a8ff412b39cf,spacy,11,GPE,King County
25,a8ff412b39cf,transformers,11,B-LOC,King
26,a8ff412b39cf,transformers,11,I-LOC,County
27,a8ff412b39cf,spacy,12,DATE,today
28,a8ff412b39cf,spacy,12,PERSON,Allen Nance
29,a8ff412b39cf,transformers,12,B-PER,Allen
30,a8ff412b39cf,transformers,12,I-PER,Nan
31,a8ff412b39cf,transformers,12,I-PER,##ce
32,a8ff412b39cf,spacy,14,ORG,County
33,a8ff412b39cf,spacy,14,ORG,Corrections
34,a8ff412b39cf,transformers,14,B-ORG,Co
35,a8ff412b39cf,spacy,15,PERSON,Detention
36,a8ff412b39cf,spacy,15,ORG,Sheriff
37,a8ff412b39cf,spacy,18,GPE,Jericho
38,a8ff412b39cf,transformers,18,B-PER,Jericho
39,a8ff412b39cf,transformers,19,B-PER,Wells
40,a8ff412b39cf,spacy,20,PERSON,Councilmember Balducci
41,a8ff412b39cf,transformers,20,B-PER,Ba
42,a8ff412b39cf,transformers,20,I-PER,##ld
43,a8ff412b39cf,transformers,20,I-PER,##ucci
44,a8ff412b39cf,spacy,21,PERSON,Councilmember Dombrowski
45,a8ff412b39cf,transformers,21,B-PER,Dom
46,a8ff412b39cf,transformers,21,I-PER,##bro
47,a8ff412b39cf,spacy,22,PERSON,McDermott
48,a8ff412b39cf,transformers,22,B-PER,M
49,a8ff412b39cf,transformers,22,B-PER,##c
50,a8ff412b39cf,transformers,22,I-PER,##D
51,a8ff412b39cf,transformers,22,I-PER,##er
52,a8ff412b39cf,transformers,22,I-PER,##mott
53,a8ff412b39cf,spacy,23,PERSON,Councilmember Perry
54,a8ff412b39cf,spacy,23,FAC,Grove
55,a8ff412b39cf,transformers,23,B-PER,Perry
56,a8ff412b39cf,spacy,24,PERSON,Councilmember Vaughn
57,a8ff412b39cf,spacy,24,ORG,Bauer
58,a8ff412b39cf,transformers,24,B-PER,Vaughn
59,a8ff412b39cf,spacy,25,WORK_OF_ART,Councilmember
60,a8ff412b39cf,transformers,26,B-PER,Cole
61,a8ff412b39cf,transformers,26,I-PER,Wells
62,a8ff412b39cf,spacy,29,DATE,July 20th
63,a8ff412b39cf,spacy,30,ORG,Madam
64,a8ff412b39cf,spacy,33,PERSON,Madam
65,a8ff412b39cf,spacy,34,ORG,Caldwell
66,a8ff412b39cf,transformers,34,B-PER,Caldwell
67,a8ff412b39cf,spacy,35,CARDINAL,two
68,a8ff412b39cf,spacy,38,CARDINAL,two
69,a8ff412b39cf,spacy,38,DATE,today
70,a8ff412b39cf,spacy,43,TIME,two minutes
71,a8ff412b39cf,spacy,46,TIME,much past two minutes
72,a8ff412b39cf,spacy,48,ORG,Clerk
73,a8ff412b39cf,spacy,48,DATE,today
74,a8ff412b39cf,spacy,50,PERSON,Chair Caldwell's
